ранг	кандзи	freq	pmw	кум%	написания
76	意	147857	756.9879	30.745	意味(39073)/意識(16962)/意見(14502)/注意(13995)/用意(7084)/意思(4850)/意外(4540)/合意(3240)/意志(3193)/得意(3114)/意図(3068)/同意(2987)/意義(2972)/意(2613)/意欲(2454)/決意(2354)/任意(1741)/意気(1681)/意向(1446)/好意(1336)
77	所	146266	748.8424	30.992	所(47588)/場所(25890)/所得(9338)/所有(6855)/役所(6231)/住所(5269)/近所(3709)/所属(2533)/箇所(2492)/所在(2413)/台所(2005)/か所(1523)/カ所(1497)/支所(1355)/所管(1330)/入所(1299)/所要(1277)/出所(1245)/所見(1025)/所持(1002)
78	問	143653	735.4645	31.234	問題(71463)/質問(23378)/問(8053)/問い合わせ(6952)/訪問(5511)/疑問(5273)/問わ(3430)/問合せ(2715)/学問(2290)/問い(1936)/問う(1380)/顧問(1166)/問合(1008)/諮問(837)/尋問(785)/問いかけ(743)/問屋(696)/拷問(550)/問答(536)/自問(323)
79	来	143362	733.9747	31.476	来(42867)/出来(14791)/来る(12120)/将来(9245)/以来(8035)/従来(6838)/本来(6745)/出来る(6680)/未来(4376)/来年(3188)/出来事(3134)/由来(2097)/来週(1407)/外来(1247)/来日(1232)/到来(1050)/来月(811)/来い(785)/出来れ(767)/如来(752)
80	全	138936	711.3148	31.711	全体(19459)/安全(17514)/全国(12835)/全(11316)/完全(10603)/全く(9606)/全部(9329)/全員(5960)/保全(5354)/全て(5177)/全然(4880)/全身(3433)/健全(2516)/全面(2167)/全般(1923)/全力(1189)/全額(1071)/不全(932)/全集(752)/万全(715)
81	代	138120	707.1371	31.944	時代(35358)/代(27316)/代表(13501)/現代(7575)/世代(5889)/近代(5655)/代わり(4102)/代理(3819)/古代(3717)/代金(1809)/年代(1583)/交代(1551)/代替(1551)/代謝(1237)/代わっ(1233)/初代(1122)/代行(753)/歴代(683)/代々(625)/代用(623)
82	書	135749	694.9982	32.173	書(28474)/書い(20943)/書か(7258)/図書(6687)/書く(6086)/書き(5618)/文書(5592)/書類(4784)/本書(2981)/秘書(1920)/書店(1885)/聖書(1654)/読書(1478)/書面(1364)/著書(1313)/書け(1277)/書記(1206)/書物(1193)/書き込み(1157)/辞書(1077)
83	考	134667	689.4586	32.400	考え(87061)/考える(17532)/参考(10229)/考慮(4085)/思考(2940)/考えれ(1967)/考察(1730)/備考(1347)/選考(1007)/考古(809)/考えよう(731)/考案(721)/考(454)/考へ(279)/考え込ん(276)/考えこん(218)/考査(197)/考え直し(195)/論考(174)/再考(172)
84	心	134322	687.6923	32.627	心(36194)/中心(20911)/心配(12141)/安心(6966)/関心(6787)/心理(5189)/心臓(3245)/初心(2609)/熱心(2083)/心身(1803)/感心(1668)/決心(1332)/心得(1200)/肝心(1194)/用心(1153)/心がけ(1148)/都心(1033)/内心(987)/心情(831)/良心(792)
85	話	133531	683.6426	32.852	話(48275)/電話(29474)/話し(15403)/会話(5209)/話題(5030)/話す(4375)/世話(4181)/話し合い(1805)/神話(1685)/対話(1568)/話しかけ(1442)/通話(1104)/受話(1085)/話し合っ(984)/話さ(975)/話せ(841)/談話(557)/手話(556)/話せる(538)/話し合う(517)
